audio_file,language,filter_method,sensitive_words_count,audio_duration,total_time,real_time_factor,memory_used,segments_count,filtered_words_count,success,test_case,word_set,length_category
016 花木兰 Mulan.mp3,en,regular_expression,10,701.84,71.45272707939148,0.10180771554683614,1.7265625,246,92,True,language_comparison,medium,
017 幸运胶鞋 Galoshes of Fortune.mp3,en,DFA,10,972.54,89.05227303504944,0.09156669446506,123.3125,296,129,True,language_comparison,medium,
017 幸运胶鞋 Galoshes of Fortune.mp3,en,aho_corasick,10,972.54,91.76566243171692,0.09435669734069234,2.98828125,296,129,True,language_comparison,medium,
017 幸运胶鞋 Galoshes of Fortune.mp3,en,trie_tree,10,972.54,88.52384114265442,0.09102334211719253,-8.11328125,296,129,True,language_comparison,medium,
017 幸运胶鞋 Galoshes of Fortune.mp3,en,replace,10,972.54,89.06174230575562,0.09157643110386783,-1.30078125,296,129,True,language_comparison,medium,
017 幸运胶鞋 Galoshes of Fortune.mp3,en,regular_expression,10,972.54,89.03534984588623,0.09154929344385447,1.0546875,296,129,True,language_comparison,medium,
018 白蛇 White Snake.mp3,en,DFA,10,372.44,34.43714737892151,0.09246361126334848,-7.18359375,65,56,True,language_comparison,medium,
018 白蛇 White Snake.mp3,en,aho_corasick,10,372.44,34.49768948554993,0.09262616659206832,7.80859375,65,56,True,language_comparison,medium,
018 白蛇 White Snake.mp3,en,trie_tree,10,372.44,34.54646825790405,0.09275713741248,-1.2265625,65,56,True,language_comparison,medium,
018 白蛇 White Snake.mp3,en,replace,10,372.44,35.36694145202637,0.094960104854544,-8.4140625,65,56,True,language_comparison,medium,
018 白蛇 White Snake.mp3,en,regular_expression,10,372.44,34.580119132995605,0.09284748988560736,-0.76171875,65,56,True,language_comparison,medium,
